,uptime,temperature,humidity,aqi,winp,wind,weather,rtu2
653,2019/5/24 22:10,26,66,67,2,2,1,0.0
654,2019/5/24 22:40,26,65,68,2,2,1,0.0
655,2019/5/24 23:10,26,64,68,2,2,1,0.0
656,2019/5/23 1:10,16,96,97,1,2,4,0.0
657,2019/5/23 1:40,15,97,96,0,8,4,0.0
658,2019/5/23 2:10,15,99,96,1,1,4,0.0
659,2019/5/23 2:40,15,97,99,1,2,4,0.0
660,2019/5/23 3:10,14,97,99,1,4,4,0.0
661,2019/5/23 3:40,14,97,94,2,2,4,0.0
662,2019/5/23 4:10,14,97,94,0,8,4,0.0
663,2019/5/23 4:40,14,97,89,1,7,4,0.0
664,2019/5/23 20:10,24,42,40,2,4,4,0.0
665,2019/5/23 20:40,22,49,68,1,4,4,0.0
666,2019/5/23 21:10,20,69,68,1,0,4,0.0
667,2019/5/23 21:35,19,67,84,0,8,4,0.0
